FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
1977,85223,SCB,D9.RS,10/29/2007 0:00:00,820695,4113840,1,5802,92.095255557900003
1978,85279,SCB,C88A.RS,9/13/2006 0:00:00,822195,4106540,1,7608,3.373554393460000
1979,85349,SCB,D7.RS,9/12/2004 0:00:00,822595,4105890,0,7608,28.500054716800001
1980,85350,SCB,C129A.RS,7/23/2012 0:00:00,822095,4106640,1,7608,21.172120719300001
1981,85403,MCB-U,D4.RS,7/21/2015 0:00:00,737470,4310835,1,1690,59.504444918499999
1982,85413,BWC-S,D19.RS,8/2/2012 0:00:00,741870,4307135,1,1107,18.020005837300001
1983,85471,BWC-S,D34.RS,10/18/2012 0:00:00,719900,4433750,0,22882,21.006205861700000
1984,85472,SCB,D14.RS,7/22/2011 0:00:00,707920,4305885,0,2890,130.585940120999990
1985,85567,MCB-U,D6.RS,10/4/2001 0:00:00,719350,4434800,0,22938,21.495577120699998
1986,85577,SCB,D13.RS,8/8/2002 0:00:00,768900,4491950,1,21939,9.253820309669999
1987,85637,SCB,D10.RS,6/16/2008 0:00:00,742500,4452800,1,22679,26.622328283300000
1988,85656,MCB-U,D2.RS,6/17/2004 0:00:00,744670,4306735,1,2111,17.412305795100000
1989,85709,MCB-W,M070.1E,10/21/1994 0:00:00,810257,4155802,1,5644,51.611635671300000
1990,85764,MCB-U,D2.RS,10/22/1999 0:00:00,810295,4155690,1,5944,54.129078888899997
1991,85808,MCB-U,D3.RS,6/19/1997 0:00:00,727770,4313735,1,1919,28.451609458600000
1992,85869,SCB,D14.RS,10/16/1996 0:00:00,700620,4311535,1,1702,25.157708847100000
1993,85885,BWC-S,D31.RS,10/5/1998 0:00:00,739250,4447750,0,22255,27.982934063700000
1994,85886,BWC-S,F34A.RS,10/28/2011 0:00:00,739520,4309235,1,1793,24.284590758600000
1995,86029,MCB-U,D7.RS,9/24/2010 0:00:00,745670,4306535,1,1631,166.038960737000000
1996,86040,BWC-S,F36A.RS,7/10/2009 0:00:00,742970,4306585,1,2384,30.545489675500001
1997,86058,MCB-U,D2.RS,10/12/2009 0:00:00,745250,4458700,0,22698,10.897490591700000
1998,86081,SCB,D11.RS,10/29/2006 0:00:00,822645,4105490,0,7608,0.000000000000000
1999,86082,BWC-S,D21.RS,10/22/2001 0:00:00,775600,4494250,1,26637,10.758805803200000
2000,86102,MCB-U,D13.RS,10/14/1998 0:00:00,744700,4457200,0,22695,31.179321950599999
2001,86156,MCB-U,D8.RS,10/1/2012 0:00:00,731000,4447450,0,26664,69.913615730499998
2002,86170,SCB,D12.RS,9/13/2006 0:00:00,811045,4128740,0,5857,125.942426018000010
2003,86191,BWC-S,F295A.RS,8/11/2005 0:00:00,759650,4482200,0,22422,71.398417031700006
2004,86408,BWC-S,F38A.RS,8/29/2003 0:00:00,742270,4306735,1,2939,55.965889263100003
2005,86470,MCB-U,D14.RS,9/23/1997 0:00:00,784650,4502350,0,24101,26.132231017100001
2006,86502,MCB-U,D14.RS,8/22/1997 0:00:00,719200,4436750,1,22525,51.217682251100001
2007,86583,SCB,D17.RS,6/24/2009 0:00:00,722450,4440450,0,26680,8.314711280990000
2008,86595,SCB,D14.RS,10/13/2009 0:00:00,741050,4450400,1,23079,11.077580045099999
2009,86628,BWC-S,D12.RS,10/25/2005 0:00:00,740520,4309285,1,1690,46.196528963600002
2010,86772,SCB,D14.RS,10/13/2004 0:00:00,738100,4448500,0,22658,31.649172401500000
2011,86794,BWC-S,D20.RS,8/22/2005 0:00:00,742670,4306435,1,2384,22.355961612300000
2012,86908,SCB,D15.RS,7/14/2008 0:00:00,716520,4308185,1,1652,164.191262552000010
2013,87007,MCB-U,D4.RS,6/21/2017 0:00:00,715570,4309185,1,1883,65.055853223000000
2014,87134,BWC-S,D15.RS,8/6/1993 0:00:00,728300,4445400,0,24628,31.346899523600001
2015,87142,MCB-U,D2.RS,9/20/2016 0:00:00,723120,4315285,0,1822,11.077752756900001
2016,87227,IMP-S,D23.RS,7/15/1999 0:00:00,744020,4306535,1,2554,146.242103998999990
2017,87267,MCB-U,D8.RS,7/17/1996 0:00:00,706270,4305735,0,1031,15.514972896000000
2018,87376,SCB,D10.RS,9/28/2009 0:00:00,700620,4311435,1,1702,25.133880907799998
2019,87425,MCB-U,D2.RS,8/19/2003 0:00:00,806895,4162540,0,7559,21.380099999700001
2020,87462,MCB-U,D6.RS,10/15/1997 0:00:00,746220,4306735,1,2427,141.161452528000010
2021,87487,MCB-U,D34.RS,9/22/2010 0:00:00,734700,4448200,0,23067,49.451179121300001
2022,87523,MCB-U,D10.RS,9/8/2016 0:00:00,723600,4444150,1,22605,2.638555331730000
2023,87601,BWC-S,D32.RS,10/18/1995 0:00:00,746400,4458800,1,24436,45.376120541299997
2024,87694,MCB-U,D3.RS,6/25/2007 0:00:00,712420,4304835,1,2569,11.468128229400000
2025,87713,BWC-S,D12.RS,7/13/2007 0:00:00,740370,4309235,1,1690,29.335466805900001
2026,87737,SCB,D8.RS,7/30/2007 0:00:00,807495,4167990,0,7562,91.544908669700007
2027,87738,MCB-U,D6.RS,6/20/1996 0:00:00,717620,4312085,1,1898,9.231991930650001
2028,87752,MCB-U,D7.RS,10/25/2004 0:00:00,701570,4316135,0,2901,31.740479234599999
2029,87861,MCB-U,D6.RS,8/26/2015 0:00:00,762850,4483550,0,23176,19.144678821599999
2030,87873,BWC-S,F325A.RS,8/23/2007 0:00:00,783700,4499400,0,26740,0.000000000000000
