RowID,stratum,lcode,sdate,utm_e,utm_n,snag
228248,MCB-U,81655.13985,7/25/1995,285153,4136613,1
228287,TRI,HD00.9M,7/26/1995,275800,4124800,1
229058,MCB-W,M034.1W,8/22/2005,287921,4108242,0
229474,MCB-W,M057.9W,10/25/2010,283903,4135768,0
229497,MCB-W,M061.5E,9/11/2014,286082,4140751,0
229498,MCB-W,M032.0E,9/12/2014,288764,4105007,1
230054,SCB,D16.RS,7/21/2015,287369,4110212,1
231071,SCB,D9.RS,9/24/2015,285112,4135068,1
231533,MCB-W,M059.8W,7/31/2015,285146,4138430,0
231785,TWZ,I157.8V,6/18/2007,277614,4500738,0
232108,MCB-W,M066.0W,10/2/2015,282936,4147183,0
232128,MCB-W,M041.4W,6/26/2012,281800,4117955,0
232896,TWZ,I157.8V,10/5/2006,277614,4500738,0
233055,TWZ,I157.8V,9/5/1997,277614,4500738,0
233151,MCB-W,M047.9W,10/28/2011,278962,4125108,0
234122,SCB,D9.RS,7/9/2002,278126,4166120,0
234402,TWZ,I157.8V,8/16/1994,277614,4500738,0
235164,TWZ,I157.8Va,6/15/2009,277614,4500738,0
236743,MCB-U,D1.RS,6/28/2002,279275,4155005,0
237004,TWZ,I157.8V,6/18/1999,277614,4500738,0
237181,TRI,HD00.9M,6/26/2015,276056,4124881,1
237191,SCB,D10.RS,6/27/2002,285824,4137089,1
238490,TWZ,I157.8Va,9/21/2009,277614,4500738,0
239414,SCB,D9.RS,10/16/2001,277985,4165799,1
239770,MCB-W,M062.3E,9/11/2014,285732,4142002,0
239806,SCB,D11.RS,8/15/2002,285152,4135279,1
240193,MCB-U,D7.RS,7/23/2015,286740,4110490,1
240317,MCB-W,M041.4E,10/21/2016,282299,4117999,0
240831,MCB-U,D1.RS,7/9/2015,277308,4163609,1
241883,TRI,HD00.9M,8/10/2015,276109,4124926,1
241928,TWZ,I157.8Vb,8/19/2011,277614,4500738,0
242993,TWZ,I157.8V,8/13/1999,277614,4500738,1
243314,MCB-W,M038.4W,10/19/2017,283788,4113592,0
244523,TWZ,I157.8V,9/7/2001,277614,4500738,0
244789,TWZ,I157.8Va,9/28/2015,277614,4500738,0
245811,TWZ,I157.8Va,8/5/2008,277614,4500738,0
245947,SCB,D14.RS,7/23/2015,284175,4115422,1
246098,TWZ,I157.8Va,9/28/2017,277614,4500738,1
246396,MCB-W,M061.3E,9/11/2014,286082,4140424,0
246593,MCB-W,M074.4E,8/5/2013,277469,4158839,0
246689,TWZ,I157.8V,10/1/2003,277614,4500738,1
247357,MCB-W,M042.5E,8/22/2005,281705,4119748,0
247474,MCB-W,M071.9E,10/18/2013,278897,4155325,0
248516,TWZ,I157.8V,7/16/1999,277614,4500738,0
248770,MCB-W,M075.2W,7/9/2002,276818,4160586,0
248925,TWZ,I157.8Vb,7/12/2013,277614,4500738,0
248947,MCB-W,M037.6W,9/15/2003,284479,4112424,0
249194,MCB-W,M037.5E,7/28/2014,284881,4112663,0
249712,MCB-W,M051.0E,10/3/2012,277001,4129641,0
249773,TWZ,I157.8V,8/23/2000,277614,4500738,0
250512,TRI,HD00.9M,9/25/2002,275800,4124800,0
251370,TRI,HD00.9M,8/19/2002,275800,4124800,1
252068,TWZ,I157.8Va,10/24/2014,277614,4500738,0
252081,SCB,82050.1137,7/13/1995,287303,4110427,1
253042,MCB-W,M054.8E,10/30/2008,280140,4134077,0
253375,MCB-W,M032.0W,8/29/2012,288202,4105222,0
253942,MCB-W,M071.9E,9/14/2005,278898,4155326,0
254315,TWZ,I157.8V,10/7/1996,277614,4500738,0
255634,TWZ,I157.8Vb,10/28/2014,277614,4500738,0
255947,TWZ,I157.8V,9/8/1998,277614,4500738,0
256239,TWZ,I157.8Vb,10/16/2009,277614,4500738,0
256396,TWZ,I157.8V,9/23/2004,277614,4500738,1
256610,TWZ,I157.8Va,6/16/2016,277614,4500738,0
257961,TRI,HD00.9M,10/29/2001,275800,4124800,1
258938,TWZ,I157.8V,10/31/1995,277614,4500738,0
259491,TWZ,I157.8V,7/25/1996,277614,4500738,0
260177,MCB-W,M065.3W,10/14/2014,283590,4146215,1
260752,MCB-W,M069.1W,10/21/2004,279803,4151171,0
260988,MCB-W,M067.3E,8/25/2017,282220,4148804,0
