"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
46625,"SCB","D9.RS","9/15/1994 0:00:00",0,NA,0,0,15000556,2,809745,4130440,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,129.528898427,"Fo","Forest",129.528898427,"1994","lower"
46626,"SCB","D23.RS","8/13/2014 0:00:00",1,NA,0,0,16011947,5,715550,4431000,15,"LAG_USCB_2","LAG",253065.268774,8.51,2.67531250924,22619633.5,23.1267586639,48.5853287951,26.9917054667,101.433857565,"Fo","Forest",101.433857565,"2014","lower"
46673,"BWC-S","D25.RS","8/21/2008 0:00:00",0,NA,0,0,16009331,2,712600,4428300,15,"LAG_CFL_43","LAG",20587.2194604,2.72,0.702480565371,510651,6.28967701148,99.6446409155,68.6270267905,13.8675981086,"Fo","Forest",13.8675981086,"2008","lower"
46674,"BWC-S","F412A.RS","7/29/1999 0:00:00",1,NA,0,0,16004903,5,746800,4459400,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5107366319,"Fo","Forest",472.032161159,"1999","lower"
46731,"SCB","C140A.RS","7/23/2010 0:00:00",1,NA,0,0,15006975,5,822895,4105340,15,"OR2_SC_4","OR2",4907.88349056,9.24,2.28281647533,735751.75,2.15598178497,85.6278143202,50.9694894066,28.705881284,"Fo","Forest",28.705881284,"2010","lower"
46747,"MCB-U","D5.RS","7/21/1994 0:00:00",1,NA,0,0,15000420,5,813995,4123890,15,"OR2_SCB_83","OR2",2169.46641882,8,3.68397088693,544122.5,1.40540576922,39.7629041932,39.7629041932,15.7895304383,"Fo","Forest",15.7895304383,"1994","lower"
46769,"IMP-S","D22.RS","9/8/2006 0:00:00",1,NA,0,0,14004739,5,744370,4306335,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,31.5429007947,"Fo","Forest",31.5429007947,"2006","lower"
46813,"SCB","D23.RS","6/19/2014 0:00:00",1,NA,0,0,16011644,5,716550,4431300,15,"LAG_SC_8","LAG",2908.85564422,4.1,2.05066291432,245925.75,2.23152016465,79.0025731901,70.46374689,29.4299650363,"Fo","Forest",29.4299650363,"2014","lower"
46823,"MCB-U","D6.RS","7/21/2014 0:00:00",0,NA,0,1,14007057,5,744970,4307285,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.407725096,"Dv","Developed",633.139644047,"2014","lower"
46884,"MCB-W","M047.0E","10/13/2006 0:00:00",0,NA,0,0,15006018,5,814443,4127905,15,"OR2_SCB_84","OR2",2202.63429921,15.97,5.26353115727,753869.25,1.39602662466,43.3259135213,43.3259135213,174.093661227,"Fo","Forest",174.093661227,"2006","lower"
46951,"MCB-U","D10.RS","10/24/1996 0:00:00",0,NA,0,1,16002760,5,757750,4478100,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,62.5791975592,"Fo","Forest",187.002710273,"1996","lower"
46979,"MCB-U","D33.RS","9/18/2001 0:00:00",0,NA,0,0,16006476,5,740650,4454600,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1565061938,"Fo","Forest",57.1565061938,"2001","lower"
47085,"SCB","D14.RS","10/17/2017 0:00:00",1,NA,0,0,16013165,5,750000,4467150,15,"LAG_SC_6","LAG",5264.07474706,3.88,1.76619311876,437618.5,2.70846598912,87.5246783835,51.5937906641,18.4725644563,"Fo","Forest",18.4725644563,"2017","lower"
47140,"IMP-S","D24.RS","9/21/2004 0:00:00",1,NA,0,0,14004353,5,744870,4305785,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,50.6270196143,"Ow","Open water",50.6270196143,"2004","lower"
47284,"BWC-S","F180A.RS","6/23/2003 0:00:00",0,NA,0,0,16007586,5,722350,4438400,15,"LAG_CFL_63","LAG",49283.0040847,2.83,0.546327174343,1004920,8.42281514579,99.4938550356,82.7869119891,30.5423762158,"Fo","Forest",88.8146701621,"2003","lower"
47290,"BWC-S","D15.RS","9/29/1998 0:00:00",0,NA,0,0,14002175,2,737120,4309935,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4586301567,"Ow","Open water",59.5059793897,"1998","lower"
47291,"MCB-W","M066.5E","10/12/1995 0:00:00",0,NA,1,0,15001023,5,813648,4151319,15,"OR2_SCB_88","OR2",25116.9471015,21.03,6.29889945619,12914948.5,4.5204398233,49.1734590187,45.6512787357,31.4243831934,"Fo","Forest",31.4243831934,"1995","lower"
47397,"SCB","D5.RS","8/18/2003 0:00:00",0,NA,0,0,15005180,2,816995,4118490,15,"OR2_SC_7","OR2",16677.1301677,14.08,1.88918445016,2370312.5,3.29820987158,92.6066704151,59.3807301462,41.9616306371,"Fo","Forest",41.9616306371,"2003","lower"
47398,"BWC-S","F42A.RS","10/14/2016 0:00:00",1,NA,0,0,16012747,5,760600,4483300,15,"LAG_CFL_16","LAG",70674.4534688,NA,NA,NA,5.1460223981,99.9108149865,62.3546689155,65.6794200942,"Fo","Forest",65.6794200942,"2016","lower"
47518,"BWC-S","D20.RS","10/5/1999 0:00:00",0,NA,0,0,14002635,2,707820,4305635,15,"P26_SC_1","P26",9078.41559551,7.25,1.79241460601,2680152.75,2.03508312227,87.3174603277,42.6391251938,58.7954555032,"Fo","Forest",58.7954555032,"1999","lower"
47519,"MCB-U","D7.RS","9/5/2003 0:00:00",1,NA,0,1,14003905,5,701470,4314035,15,"P26_SCB_43","P26",4605.55304944,11.94,4.88898873255,2180366.75,1.87369581251,45.2022711814,40.4465776419,39.8151319181,"Fo","Forest",39.8151319181,"2003","lower"
