FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
4200,150391,BWC-S,F4.RS,9/21/2009 0:00:00,642320,4846900,1,8092,32.467554314799997
4201,150448,BWC-S,F2.RS,9/29/2009 0:00:00,728925,4669685,1,13329,0.000000000000000
4202,150449,BWC-S,F5.RS,9/16/2013 0:00:00,582445,4913545,0,511,0.000000000000000
4203,150479,BWC-S,F1.RS,8/21/2017 0:00:00,715575,4680336,0,13185,14.684431762799999
4204,150480,BWC-S,F15A.RS,9/1/2015 0:00:00,720125,4675986,1,9646,81.469859850600002
4205,150495,BWC-S,F36A.RS,9/9/2013 0:00:00,729225,4670185,1,13334,7.515070364360000
4206,150591,IMP-S,F11.RS,7/22/1997 0:00:00,736125,4652735,1,13406,29.684534963499999
4207,150597,BWC-S,F25A.RS,10/2/2000 0:00:00,713925,4680585,1,13349,10.426030502100000
4208,150604,BWC-S,F7.RS,8/25/2009 0:00:00,733825,4663835,0,10826,0.000000000000000
4209,150606,BWC-S,F5.RS,10/23/2002 0:00:00,637770,4857500,0,5998,24.329643111799999
4210,150642,BWC-S,F4.RS,8/17/2000 0:00:00,641770,4844950,0,4869,0.000000000000000
4211,150651,TWZ,M796.9N,9/16/2009 0:00:00,531031,4939825,1,2207,30.745833457200000
4212,150673,BWC-S,M692.7S,8/13/1990 0:00:00,643263,4844980,1,5069,10.920518066500000
4213,150771,BWC-S,F8.RS,6/22/1995 0:00:00,735125,4662335,0,12934,0.000000000000000
4214,150772,BWC-S,F17A.RS,9/9/2002 0:00:00,639570,4852600,1,5340,4.251544501130000
4215,150794,IMP-S,D15.RS,10/24/2000 0:00:00,643470,4832700,0,6133,58.975645217299999
4216,150801,MCB-U,D6.RS,8/14/2001 0:00:00,585745,4908945,1,4703,42.348591673999998
4217,150844,MCB-U,D6.RS,6/30/1994 0:00:00,583995,4909695,1,807,26.415867866799999
4218,150875,MCB-W,M796.8M,9/1/2015 0:00:00,531608,4939614,0,1939,41.431761386600002
4219,150893,SCB,D15.RS,9/10/2013 0:00:00,582845,4911395,1,4665,138.130485534000000
4220,150905,SCB,D9.RS,10/23/2007 0:00:00,583795,4911795,0,4047,55.137761090200001
4221,150906,SCB,D5.RS,7/18/2002 0:00:00,720975,4674335,1,10070,23.100334694099999
4222,150959,MCB-U,D22.RS,9/20/2010 0:00:00,642520,4825650,1,6071,0.000000000000000
4223,150996,BWC-S,D21.RS,7/25/2011 0:00:00,578645,4915345,0,338,0.000000000000000
