FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
208,8911,BWC-S,D16.RS,9/3/2008 0:00:00,727870,4313485,0
209,8912,BWC-S,D23.RS,9/24/2008 0:00:00,757900,4477450,1
210,8940,MCB-W,M065.3E,10/3/2000 0:00:00,814880,4149907,0
211,9034,MCB-U,D10.RS,8/22/1996 0:00:00,764100,4486800,0
212,9048,MCB-U,D8.RS,10/27/2016 0:00:00,730850,4447350,0
213,9068,MCB-U,D7.RS,10/21/2014 0:00:00,821945,4107791,1
214,9102,BWC-S,D18.RS,9/20/2011 0:00:00,737220,4309735,0
215,9103,BWC-S,F34A.RS,8/11/2017 0:00:00,740220,4309235,1
216,9123,SCB,D22.RS,8/17/2015 0:00:00,716300,4431150,1
217,9161,MCB-U,D5.RS,8/29/2002 0:00:00,724450,4444800,0
218,9219,SCB,D13.RS,6/15/2007 0:00:00,718370,4312535,1
219,9264,MCB-U,D5.RS,8/8/2011 0:00:00,749200,4466700,0
220,9269,MCB-U,D2.RS,10/30/2007 0:00:00,816095,4146090,1
221,9282,MCB-U,D7.RS,9/2/2005 0:00:00,745620,4307085,1
222,9299,MCB-U,B52A.RS,8/4/1999 0:00:00,745870,4306535,1
223,9345,BWC-S,F264A.RS,8/9/2005 0:00:00,712900,4429200,1
224,9407,SCB,D9.RS,7/17/2009 0:00:00,810145,4129990,1
225,9424,MCB-U,D3.RS,6/25/1999 0:00:00,717120,4312035,0
226,9455,MCB-U,D3.RS,6/27/2003 0:00:00,724270,4316085,0
227,9479,SCB,D8.RS,8/13/2010 0:00:00,817695,4142640,1
228,9493,TRI,BM00.7S,9/23/2011 0:00:00,808309,4164557,1
229,9626,BWC-S,D4.RS,9/7/2000 0:00:00,739070,4309485,1
230,9668,MCB-U,D2.RS,9/17/2004 0:00:00,734470,4311785,1
231,9707,MCB-U,D11.RS,9/3/2014 0:00:00,723100,4442400,0
232,9750,SCB,I113.0T,7/24/1997 0:00:00,743494,4454903,1
233,9802,SCB,D19.RS,6/26/2012 0:00:00,742350,4452750,0
234,9916,TWZ,I80.0,8/17/2001 0:00:00,710889,4423794,0
235,9922,MCB-U,D7.RS,10/14/1993 0:00:00,714170,4306985,0
236,9979,BWC-S,D34.RS,8/8/1996 0:00:00,721200,4438100,0
237,9980,MCB-U,D2.RS,8/30/2013 0:00:00,814495,4149289,0
238,9993,SCB,D25.RS,10/6/1995 0:00:00,743700,4454700,1
239,10062,IMP-S,D21.RS,10/15/2002 0:00:00,744220,4306535,0
240,10063,MCB-U,D3.RS,9/27/2004 0:00:00,750100,4467900,0
241,10076,BWC-S,D18.RS,10/14/2003 0:00:00,736720,4312335,0
242,10081,IMP-S,D24.RS,7/7/2000 0:00:00,744320,4306335,0
243,10088,MCB-U,D1.RS,10/3/2005 0:00:00,728270,4313935,1
244,10150,BWC-S,D5.RS,6/29/1998 0:00:00,733000,4444850,0
245,10169,TRI,HD00.9M,10/1/2012 0:00:00,808024,4127458,0
246,10170,SCB,D24.RS,6/27/1996 0:00:00,739100,4449450,1
247,10194,BWC-S,D19.RS,7/9/2007 0:00:00,732400,4447350,0
248,10195,MCB-U,D32.RS,8/15/2007 0:00:00,738900,4452700,0
249,10234,SCB,81755.1412,10/13/1995 0:00:00,817545,4141190,0
250,10365,SCB,D17.RS,8/24/2015 0:00:00,749550,4466700,0
251,10371,SCB,81010.13015,7/12/1996 0:00:00,810095,4130140,1
252,10377,SCB,D9.RS,7/16/2007 0:00:00,700370,4313485,0
253,10378,MCB-U,D2.RS,6/28/2000 0:00:00,718620,4314185,0
254,10381,SCB,D6.RS,10/30/2004 0:00:00,817895,4117840,0
255,10382,MCB-U,D3.RS,10/5/1999 0:00:00,702520,4312635,1
256,10412,MCB-U,D12.RS,6/15/1995 0:00:00,759200,4479300,0
257,10413,MCB-U,D17.RS,8/25/1999 0:00:00,740400,4453700,0
258,10448,SCB,D14.RS,7/22/2011 0:00:00,820845,4113490,1
259,10466,MCB-U,D6.RS,10/29/2009 0:00:00,741520,4309935,0
260,10467,MCB-U,D11.RS,8/11/2011 0:00:00,712400,4427900,1
261,10500,BWC-S,D19.RS,6/20/2008 0:00:00,720900,4437550,1
262,10532,SCB,I113.0T,6/28/1995 0:00:00,743494,4454903,1
263,10546,SCB,D13.RS,10/13/2011 0:00:00,810545,4129290,0
264,10636,MCB-U,D12.RS,6/30/2011 0:00:00,712500,4428650,0
265,10639,SCB,C17A.RS,8/2/2013 0:00:00,749850,4467050,0
266,10677,MCB-U,D2.RS,10/3/2005 0:00:00,814145,4150740,0
267,10687,IMP-S,D21.RS,6/18/2010 0:00:00,744120,4305985,1
268,10700,MCB-U,D2.RS,6/15/2012 0:00:00,719370,4313435,1
269,10748,BWC-S,F53A.RS,8/12/2004 0:00:00,775150,4494100,0
270,10850,SCB,D10.RS,8/5/2008 0:00:00,715750,4431100,1
271,10861,MCB-U,D4.RS,10/7/2011 0:00:00,813395,4137840,0
272,10882,BWC-S,D24.RS,10/10/2008 0:00:00,775150,4494150,1
273,10985,SCB,D5.RS,9/13/2006 0:00:00,820145,4114690,0
274,10986,BWC-S,D17.RS,8/9/2001 0:00:00,721350,4438150,1
275,11028,SCB,D10.RS,7/3/2003 0:00:00,713620,4306335,0
276,11029,SCB,D12.RS,8/19/2003 0:00:00,822845,4105390,0
277,11102,SCB,I113.0T,7/18/2001 0:00:00,743494,4454903,1
278,11118,MCB-U,D8.RS,8/27/1999 0:00:00,763450,4484450,0
279,11144,SCB,D9.RS,8/6/1998 0:00:00,719220,4315585,1
280,11269,SCB,D13.RS,10/23/2012 0:00:00,703520,4308585,1
281,11430,SCB,D17.RS,10/10/2011 0:00:00,741300,4451700,0
282,11434,SCB,D21.RS,8/31/1995 0:00:00,743600,4455550,0
283,11473,MCB-U,A14A.RS,6/23/1999 0:00:00,814552,4122698,1
284,11525,MCB-U,D8.RS,6/25/1999 0:00:00,771650,4493300,1
285,11553,SCB,C49A.RS,9/16/2014 0:00:00,713720,4305635,1
286,11583,SCB,82200.1069,10/19/1995 0:00:00,821995,4106890,1
287,11585,BWC-S,F22A.RS,9/11/2002 0:00:00,782050,4493850,0
288,11680,BWC-S,F35A.RS,6/16/2016 0:00:00,781050,4493800,1
289,11733,SCB,C166A.RS,8/31/1998 0:00:00,820519,4114505,0
290,11735,BWC-S,D28.RS,8/12/2010 0:00:00,784300,4499550,1
291,11837,SCB,D11.RS,10/13/2017 0:00:00,815845,4141990,1
292,11896,BWC-S,F2A.RS,10/24/2006 0:00:00,738870,4309535,1
293,11946,BWC-S,D30.RS,7/20/2001 0:00:00,783050,4498900,0
294,11947,SCB,D12.RS,8/4/2005 0:00:00,715300,4430850,1
