RowID,stratum,lcode,sdate,utm_e,utm_n,snag
244258,BWC-S,D8.RS,8/1/1996,724675,4673585,1
244313,SCB,D5.RS,6/20/2013,638520,4856800,1
244420,IMP-S,D22.RS,6/21/2001,643420,4836600,0
244471,MCB-W,M696.8,7/10/1992,639499,4850832,0
244561,SCB,D9.RS,8/1/2016,641120,4844350,0
244592,BWC-O,M788.6,8/13/1992,540249,4935467,0
244597,MCB-U,D2.RS,10/5/2004,641620,4848300,1
244653,BWC-S,D19.RS,6/26/2001,584345,4909195,1
244728,MCB-U,D6.RS,7/18/2000,585045,4909545,1
244852,BWC-S,F73A.RS,8/23/2001,580295,4916545,0
244878,BWC-S,F58A.RS,6/19/1998,639520,4836800,0
244934,BWC-S,D17.RS,8/31/1999,641820,4843300,0
245010,MCB-U,D1.RS,9/8/2014,639920,4852650,0
245046,BWC-S,D16.RS,10/29/2002,579995,4915495,0
245059,SCB,D24.RS,8/16/2005,583045,4912495,1
245122,MCB-W,M700.1C,8/9/2012,638083,4854761,0
245146,BWC-S,F11A.RS,9/14/2006,641220,4842650,1
245150,MCB-U,D6.RS,6/22/2004,583945,4910845,1
245181,BWC-S,D12.RS,8/9/2005,641670,4844900,0
245182,BWC-S,D13.RS,6/18/2002,638870,4855100,1
245233,SCB,D10.RS,7/22/1999,532245,4938845,1
245262,BWC-O,D17.RS,10/25/1993,583195,4912745,1
245273,MCB-U,D2.RS,10/25/2011,713425,4680135,1
245308,BWC-S,D10.RS,7/20/2012,732825,4668835,1
245311,SCB,D11.RS,8/6/2010,542795,4934795,1
245326,MCB-W,M690.6E,8/9/2000,640268,4841800,0
245416,MCB-W,M550.5K,7/25/2001,719825,4675203,0
245439,MCB-W,M759.9E,9/5/1995,575600,4914800,0
245449,MCB-U,D5.RS,10/30/2017,580345,4913545,1
245465,MCB-W,M796.8M,10/7/2009,531608,4939614,0
245546,SCB,D5.RS,7/26/1995,736425,4656485,1
245580,BWC-S,D13.RS,8/15/1995,643470,4845500,1
245626,MCB-U,D2.RS,9/27/2012,639720,4853400,1
245629,BWC-S,D18.RS,9/18/2015,641370,4841400,0
245697,SCB,D14.RS,7/26/2011,583345,4911995,1
245727,BWC-S,D12.RS,6/26/1998,729125,4669985,1
245781,BWC-S,D19.RS,8/19/1998,582245,4913595,0
245792,BWC-S,D17.RS,10/9/1998,637720,4856000,1
245888,MCB-U,D2.RS,7/6/1999,573295,4917295,1
245914,MCB-W,M691.6E,10/28/1994,640703,4843283,0
245941,BWC-O,D18.RS,7/29/1993,581495,4915795,0
245949,BWC-S,D21.RS,7/21/1999,580595,4911545,0
245950,BWC-S,D19.RS,8/4/1997,641370,4841350,0
245953,SCB,D8.RS,6/21/2011,641320,4849050,1
246012,MCB-U,D2.RS,7/8/1999,735775,4657335,1
246050,SCB,D13.RS,8/16/2016,578545,4913945,1
246089,BWC-S,D20.RS,9/20/2012,640920,4841250,1
246115,BWC-S,D24.RS,9/10/2013,585445,4908895,1
246120,SCB,D8.RS,6/16/2014,640470,4848750,1
246155,SCB,D24.RS,10/2/2008,583145,4913245,1
246211,BWC-S,D20.RS,9/2/2009,578595,4915945,1
246235,MCB-U,D1.RS,6/24/2004,531595,4939645,1
246264,MCB-U,D1.RS,8/17/2001,571445,4918045,0
246272,SCB,D11.RS,8/29/1997,638070,4855650,1
246334,BWC-O,M757.9V,9/30/1991,581670,4914795,NA
246343,BWC-S,D18.RS,9/22/2011,639020,4842300,1
246482,BWC-S,D7.RS,10/25/2010,715475,4680635,1
246526,MCB-W,M555.4B,10/20/2003,713582,4679726,0
246622,BWC-S,D22.RS,8/29/1997,636570,4856950,0
246677,SCB,D7.RS,8/9/1994,543495,4934645,0
246742,BWC-S,F3.RS,8/4/1993,729525,4669185,1
246763,IMP-S,F13.RS,9/28/1999,735275,4648485,1
246775,IMP-S,F14.RS,9/26/2000,642520,4836750,1
246811,BWC-S,F9.RS,9/17/1996,737425,4653785,1
246890,BWC-S,F6.RS,8/4/1993,585095,4908145,0
246893,BWC-S,F3.RS,8/28/2017,543545,4933995,0
246913,BWC-S,F5.RS,9/2/2014,641920,4845100,0
246939,BWC-S,F6.RS,6/20/1995,579545,4914895,0
246961,BWC-S,F6.RS,7/8/2009,583995,4908445,0
246981,BWC-S,F29A.RS,6/25/2012,729175,4670235,1
247106,BWC-S,F2.RS,7/22/1996,641270,4843300,0
247164,BWC-S,F6.RS,10/1/2012,643620,4842050,1
247199,BWC-S,F8.RS,9/28/2009,733275,4663285,0
247200,BWC-S,F92A.RS,8/1/2011,584995,4910445,1
